molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name
CHEMBL413293,COC(=O)[C@@H]1C[C@H](N)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,inactive,83690.0,Neuraminidase
CHEMBL397409,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](C)NC(=O)OC(C)(C)C,inactive,90790.0,Neuraminidase
CHEMBL233315,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,intermediate,4290.0,Neuraminidase
CHEMBL233115,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,intermediate,6090.0,Neuraminidase
CHEMBL233114,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,intermediate,4630.0,Neuraminidase
CHEMBL392773,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)O,intermediate,2400.0,Neuraminidase
CHEMBL233113,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,intermediate,4270.0,Neuraminidase
CHEMBL392772,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,intermediate,2850.0,Neuraminidase
CHEMBL232907,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,intermediate,6130.0,Neuraminidase
CHEMBL393786,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NO,intermediate,3870.0,Neuraminidase
CHEMBL232906,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,inactive,11510.0,Neuraminidase
CHEMBL393917,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C[C@@H](N)C[C@H]1C(=O)NO,intermediate,4170.0,Neuraminidase
CHEMBL458768,COC(=O)c1ccc(NC(C)=O)cc1O,active,990.0,Neuraminidase
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,active,21.0,Neuraminidase
CHEMBL495455,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,active,590.0,Neuraminidase
CHEMBL495448,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,intermediate,1540.0,Neuraminidase
CHEMBL494431,CCCCCCCCCCCCCCCCOc1cc(NC(C)=O)ccc1C(=O)OC,intermediate,2690.0,Neuraminidase
CHEMBL503267,CC(=O)Nc1cc(OCCC(C)C)c(C(=O)O)cc1NC(=N)N,active,41.0,Neuraminidase
CHEMBL494417,COC(=O)c1cc(N)c(NC(C)=O)cc1OCCC(C)C,active,970.0,Neuraminidase
CHEMBL495228,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OCCC(C)C,intermediate,2960.0,Neuraminidase
CHEMBL495108,COC(=O)c1ccc(NC(C)=O)cc1OCCC(C)C,intermediate,3810.0,Neuraminidase
CHEMBL503657,COC(=O)c1cc(N)c(NC(C)=O)cc1OC1CCCC1,active,38.0,Neuraminidase
CHEMBL495227,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OC1CCCC1,active,330.0,Neuraminidase
CHEMBL495226,COC(=O)c1ccc(NC(C)=O)cc1OC1CCCC1,active,490.0,Neuraminidase
CHEMBL494380,CCCCOc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)O,active,40.0,Neuraminidase
CHEMBL494199,CCCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,active,70.0,Neuraminidase
CHEMBL494610,CCCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,active,140.0,Neuraminidase
CHEMBL504247,CCCCOc1cc(NC(C)=O)ccc1C(=O)OC,active,230.0,Neuraminidase
CHEMBL494609,CCC(C)Oc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)OC,active,740.0,Neuraminidase
CHEMBL507909,CCC(C)Oc1cc(NC(C)=O)c(N)cc1C(=O)OC,active,950.0,Neuraminidase
CHEMBL523378,CCC(C)Oc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,intermediate,1590.0,Neuraminidase
CHEMBL494608,CCC(C)Oc1cc(NC(C)=O)ccc1C(=O)OC,intermediate,2970.0,Neuraminidase
CHEMBL495434,CCCOc1cc(NC(C)=O)c(NC(=N)N)cc1C(=O)O,active,720.0,Neuraminidase
CHEMBL495433,CCCOc1cc(NC(C)=O)c(N)cc1C(=O)OC,intermediate,1260.0,Neuraminidase
CHEMBL452457,CCCOc1cc(NC(C)=O)c([N+](=O)[O-])cc1C(=O)OC,intermediate,3570.0,Neuraminidase
CHEMBL489264,CCCOc1cc(NC(C)=O)ccc1C(=O)OC,intermediate,9260.0,Neuraminidase
CHEMBL501838,CC(=O)Nc1cc(OC(C)C)c(C(=O)O)cc1NC(=N)N,active,49.0,Neuraminidase
CHEMBL506288,COC(=O)c1cc(NC(=N)N)c(NC(C)=O)cc1OC(C)C,active,120.0,Neuraminidase
CHEMBL443726,COC(=O)c1cc(N)c(NC(C)=O)cc1OC(C)C,active,230.0,Neuraminidase
CHEMBL494557,COC(=O)c1cc([N+](=O)[O-])c(NC(C)=O)cc1OC(C)C,active,570.0,Neuraminidase
CHEMBL494556,COC(=O)c1ccc(NC(C)=O)cc1OC(C)C,intermediate,5320.0,Neuraminidase
CHEMBL494389,CCOc1c(C(=O)O)cc(NC(=N)N)c(NC(C)=O)c1NC(=N)N,active,32.0,Neuraminidase
CHEMBL493376,CCOc1c(C(=O)OC)cc(NC(=N)N)c(NC(C)=O)c1NC(=N)N,active,36.0,Neuraminidase
CHEMBL493351,CCOc1c(C(=O)OC)cc(N)c(NC(C)=O)c1N,active,310.0,Neuraminidase
CHEMBL493212,CCOc1c(C(=O)OC)cc([N+](=O)[O-])c(NC(C)=O)c1[N+](=O)[O-],intermediate,2150.0,Neuraminidase
CHEMBL458769,CCOc1cc(NC(C)=O)ccc1C(=O)OC,active,220.0,Neuraminidase
CHEMBL55440,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,inactive,10000.0,Neuraminidase
CHEMBL96712,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1O,inactive,8600030668.89,Neuraminidase
CHEMBL459839,CCN(CC)C(=O)N1C[C@@H](C(=O)O)[C@@H](N)[C@@H]1CNC(=O)C(F)(F)F,inactive,199986186.96,Neuraminidase
CHEMBL459838,CC(C)N(CCc1ccccn1)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,inactive,1299870237.39,Neuraminidase
CHEMBL459837,CC(C)N(CCCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,inactive,1299870237.39,Neuraminidase
CHEMBL511178,CC(C)N(CCCCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,inactive,1999861869.63,Neuraminidase
CHEMBL460871,CC(C)N(CCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,inactive,2099906703.76,Neuraminidase
CHEMBL18902,CC(C)(C)OC(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,inactive,50003453497.7,Neuraminidase
CHEMBL139367,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,inactive,10000.0,Neuraminidase
CHEMBL118070,CC(=O)NC[C@H]1C[C@@H](C(=O)O)C[C@@H]1NC(=N)N,inactive,100000000.0,Neuraminidase
CHEMBL460252,CC(=O)N[C@H]([C@H](O)[C@H](O)CO)[C@H]1OC(O)(C(=O)O)C[C@@H]1O,inactive,115000571869.92,Neuraminidase
CHEMBL460251,CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)OP(=O)(O)C[C@@H]1O,inactive,40003685104.61,Neuraminidase
CHEMBL513445,CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)O[C@](O)(P(=O)(O)O)C[C@@H]1O,inactive,60006735386.41,Neuraminidase
CHEMBL507302,O=P(O)(O)[C@]1(O)C[C@H](O)[C@@H](O)[C@H]([C@@H](O)[C@@H](O)CO)O1,inactive,199986186963.27,Neuraminidase
CHEMBL81717,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,500034.53,Neuraminidase
CHEMBL311059,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,500034.53,Neuraminidase
CHEMBL460452,CC[C@@H](Cc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,inactive,299985.32,Neuraminidase
CHEMBL513444,C=C[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,inactive,1000000.0,Neuraminidase
CHEMBL309192,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,inactive,10000000.0,Neuraminidase
CHEMBL81159,CC(=O)N[C@H]1[C@H](O)C=C(C(=O)O)C[C@@H]1N,inactive,6299411805.49,Neuraminidase
CHEMBL307189,CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,inactive,47995.44,Neuraminidase
CHEMBL308497,N=C(N)Nc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,inactive,4996892.43,Neuraminidase
CHEMBL334352,N=C(N)Nc1cc(/C=N/O)cc(C(=O)O)c1,inactive,500034534976.98,Neuraminidase
CHEMBL132225,NC(N)=Nc1cc(N=C(N)N)cc(C(=O)O)c1,inactive,1500030190455.95,Neuraminidase
CHEMBL131196,CS(=O)(=O)Cc1ccc(C(=O)O)cc1NC(=N)N,inactive,139990962656.83,Neuraminidase
CHEMBL461287,CS(=O)(=O)c1ccc(C(=O)O)cc1NC(=N)N,inactive,8999119108.7,Neuraminidase
CHEMBL336080,CNC(=O)c1ccc(C(=O)O)cc1NC(=N)N,inactive,5000345349.77,Neuraminidase
CHEMBL128311,CS(=O)(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,inactive,100000000000.0,Neuraminidase
CHEMBL132451,CC(=O)Nc1ccc(C(=O)O)cc1/C=N/O,inactive,5500472528676.35,Neuraminidase
CHEMBL324455,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],inactive,750066898736.07,Neuraminidase
CHEMBL433269,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,1999861.87,Neuraminidase
CHEMBL300461,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,4000368.51,Neuraminidase
CHEMBL98262,CCN(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,1000000.0,Neuraminidase
CHEMBL100991,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1C(=O)N(C)C,inactive,23933157.56,Neuraminidase
CHEMBL54149,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,inactive,500034534.98,Neuraminidase
CHEMBL419710,CCCCN(CCCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,inactive,449987033.87,Neuraminidase
CHEMBL295490,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,inactive,12000518.2,Neuraminidase
CHEMBL317645,CCN(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,inactive,2999853.18,Neuraminidase
CHEMBL100677,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1C(=O)N(C)C,inactive,2399937876.81,Neuraminidase
CHEMBL51451,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,inactive,19006405908.65,Neuraminidase
CHEMBL50254,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,inactive,180011396.04,Neuraminidase
CHEMBL222813,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,inactive,5000345.35,Neuraminidase
CHEMBL52270,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N,inactive,319963176.73,Neuraminidase
CHEMBL200663,CCOc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,intermediate,1650.0,Neuraminidase
CHEMBL465521,COc1cc(OC)nc(NC(=S)NC(=O)COc2ccc(Cl)cc2Cl)n1,intermediate,1890.0,Neuraminidase
CHEMBL499951,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,intermediate,5100.0,Neuraminidase
CHEMBL465692,Cc1cc(C)nc(NC(=S)NC(=O)c2ccc(Cl)cc2F)n1,intermediate,1360.0,Neuraminidase
CHEMBL515689,Cc1cc(C)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,active,580.0,Neuraminidase
CHEMBL457289,COc1cc(OC)nc(NC(=S)NC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)n1,active,970.0,Neuraminidase
CHEMBL457088,CC(C)C(C(=O)NC(=S)Nc1nc(Cl)cc(Cl)n1)c1ccc(Cl)cc1,inactive,20000.0,Neuraminidase
CHEMBL517961,CCOc1cc(OCC)nc(NC(=S)NC(=O)C(c2ccc(Cl)cc2)C(C)C)n1,active,310.0,Neuraminidase
CHEMBL465909,Cc1cc(C)nc(NC(=S)NC(=O)c2ccccc2)n1,intermediate,2100.0,Neuraminidase
CHEMBL370161,COc1cc(OC)nc(NC(=S)NC(=O)c2cnc(Cl)c(Cl)c2)n1,inactive,18500.0,Neuraminidase
CHEMBL200035,COc1cc(OC)nc(NC(=S)NC(=O)c2cccnc2)n1,inactive,20000.0,Neuraminidase
CHEMBL200090,COc1cc(Cl)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,intermediate,2590.0,Neuraminidase
CHEMBL202274,Cc1cc(C)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,intermediate,7190.0,Neuraminidase
CHEMBL382282,CCOc1cc(Cl)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,inactive,20000.0,Neuraminidase
CHEMBL199854,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2cccnc2Cl)n1,inactive,20000.0,Neuraminidase
CHEMBL371265,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,inactive,20000.0,Neuraminidase
CHEMBL197813,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,inactive,20000.0,Neuraminidase
CHEMBL198130,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,inactive,20000.0,Neuraminidase
CHEMBL200124,Cc1cc(O)nc(NC(=S)NC(=O)c2ccc(Cl)nc2)n1,intermediate,8580.0,Neuraminidase
CHEMBL383574,COc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,intermediate,1290.0,Neuraminidase
CHEMBL199686,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,intermediate,1220.0,Neuraminidase
CHEMBL451301,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@H]1[C@H](C=C(Cl)Cl)C1(C)C,active,260.0,Neuraminidase
CHEMBL459250,CC(C)(C)NC(=O)NC(=S)NC(=O)[C@@H]1[C@H](/C=C(\Cl)C(F)(F)F)C1(C)C,active,510.0,Neuraminidase
CHEMBL200175,CC(C)[C@H](C(=O)NC(=S)NC(=O)NC(C)(C)C)c1ccc(Cl)cc1,intermediate,1350.0,Neuraminidase
CHEMBL198027,CC(C)(C)NC(=O)NC(=S)NC(=O)c1c(F)cccc1F,intermediate,1430.0,Neuraminidase
CHEMBL200754,CC(C)(C)NC(=O)NC(=S)NC(=O)COc1ccc(Cl)cc1Cl,intermediate,1670.0,Neuraminidase
CHEMBL372605,COC(=O)NC(=S)NC(=O)NC(C)(C)C,intermediate,1830.0,Neuraminidase
CHEMBL199628,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccccc1,intermediate,1790.0,Neuraminidase
CHEMBL199890,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,intermediate,1300.0,Neuraminidase
CHEMBL369955,CC(C)(C)NC(=O)NC(=S)NC(=O)c1ccc(-c2ccccc2Cl)o1,intermediate,1420.0,Neuraminidase
CHEMBL370988,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,inactive,20000.0,Neuraminidase
CHEMBL198028,Cc1cc(O)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,active,360.0,Neuraminidase
CHEMBL200565,CCOc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n1,intermediate,2300.0,Neuraminidase
CHEMBL515531,O=C(NC(=S)Nc1nc(Cl)cc(Cl)n1)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,intermediate,1660.0,Neuraminidase
CHEMBL199375,COc1cc(C)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,inactive,20000.0,Neuraminidase
CHEMBL199822,CCOc1cc(Cl)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,inactive,20000.0,Neuraminidase
CHEMBL370590,O=C(NC(=S)Nc1nc(Cl)cc(Cl)n1)c1ccc(-c2ccccc2Cl)o1,inactive,14500.0,Neuraminidase
CHEMBL199481,COc1cc(OC)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,intermediate,1770.0,Neuraminidase
CHEMBL372394,Cc1cc(O)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,active,320.0,Neuraminidase
CHEMBL372738,CCOc1cc(OCC)nc(NC(=S)NC(=O)c2ccc(-c3ccccc3Cl)o2)n1,active,80.0,Neuraminidase
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,inactive,31600.0,Neuraminidase
CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,inactive,52200.0,Neuraminidase
CHEMBL442289,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,inactive,51500.0,Neuraminidase
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,inactive,82600.0,Neuraminidase
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,inactive,58400.0,Neuraminidase
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,inactive,58600.0,Neuraminidase
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,inactive,45700.0,Neuraminidase
CHEMBL487417,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,inactive,46500.0,Neuraminidase
CHEMBL233929,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,inactive,47400.0,Neuraminidase
CHEMBL487805,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,inactive,50600.0,Neuraminidase
CHEMBL293776,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,inactive,46300.0,Neuraminidase
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,inactive,33700.0,Neuraminidase
CHEMBL9352,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,inactive,100000.0,Neuraminidase
CHEMBL129482,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,inactive,100000.0,Neuraminidase
CHEMBL206452,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,inactive,100000.0,Neuraminidase
CHEMBL449317,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,inactive,100000.0,Neuraminidase
CHEMBL511995,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)Oc2cc(O)ccc21,inactive,100000.0,Neuraminidase
CHEMBL486626,O=c1c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)coc2cc(O)cc(O)c12,inactive,100000.0,Neuraminidase
CHEMBL242341,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,inactive,100000.0,Neuraminidase
CHEMBL466981,O=C1/C(=C\c2ccc(O)cc2)Oc2cc(O)cc(O)c21,inactive,25600.0,Neuraminidase
CHEMBL466980,O=C1/C(=C\c2ccccc2)Oc2cc(O)ccc21,inactive,72000.0,Neuraminidase
CHEMBL502446,O=C1/C(=C\c2ccc(O)cc2)Oc2cc(O)ccc21,inactive,22000.0,Neuraminidase
CHEMBL490355,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,inactive,29600.0,Neuraminidase
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,inactive,77100.0,Neuraminidase
CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,inactive,37100.0,Neuraminidase
CHEMBL554168,CC(=O)N[C@H]1[C@H]([C@H](OC(=O)NCc2cn(CCOCOc3ccc(-c4c5nc(c(-c6ccc(OCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@H](O)CO)nn7)cc6)c6ccc([nH]6)c(-c6ccc(OCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@H](O)CO)nn7)cc6)c6nc(c(-c7ccc(OCOCCn8cc(CNC(=O)O[C@@H]([C@@H]9OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]9NC(C)=O)[C@H](O)CO)nn8)cc7)c7ccc4[nH]7)C=C6)C=C5)cc3)nn2)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,active,11.0,Neuraminidase
CHEMBL564257,CC(=O)N[C@H]1[C@H]([C@H](OC(=O)NCc2cn(CCOCCOCCOCCNC(=O)COc3ccc(-c4c5nc(c(-c6ccc(OCC(=O)NCCOCCOCCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@H](O)CO)nn7)cc6)c6ccc([nH]6)c(-c6ccc(OCC(=O)NCCOCCOCCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@H](O)CO)nn7)cc6)c6nc(c(-c7ccc(OCC(=O)NCCOCCOCCOCCn8cc(CNC(=O)O[C@@H]([C@@H]9OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]9NC(C)=O)[C@H](O)CO)nn8)cc7)c7ccc4[nH]7)C=C6)C=C5)cc3)nn2)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,active,8.5,Neuraminidase
CHEMBL556810,CC(=O)N[C@H]1[C@H]([C@H](OC(=O)NCc2cn(CCOCCOCCOCCOCCNC(=O)COc3ccc(-c4c5nc(c(-c6ccc(OCC(=O)NCCOCCOCCOCCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@H](O)CO)nn7)cc6)c6ccc([nH]6)c(-c6ccc(OCC(=O)NCCOCCOCCOCCOCCn7cc(CNC(=O)O[C@@H]([C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)[C@@H](O)CO)nn7)cc6)c6nc(c(-c7ccc(OCC(=O)NCCOCCOCCOCCOCCn8cc(CNC(=O)O[C@@H]([C@@H]9OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]9NC(C)=O)[C@H](O)CO)nn8)cc7)c7ccc4[nH]7)C=C6)C=C5)cc3)nn2)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,active,3.7,Neuraminidase
