molecule_chembl_id,canonical_smiles,bioactivity_threshold,standard_value,pref_name,PIC50
CHEMBL1183504,CCCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,81.81,Neuraminidase,7.087193607338707
CHEMBL4875716,CCCCCCCNNC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,575.0,Neuraminidase,6.2403321553103694
CHEMBL4873884,CCCNNC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,241.0,Neuraminidase,6.617982957425132
CHEMBL4293261,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](OC(=O)NCCCN)[C@@H](C(=O)O)C[C@H]1NC(=N)N.O=C(O)C(F)(F)F,active,34.3,Neuraminidase,7.464705879957229
CHEMBL2315318,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)N[C@@H](CCC(=O)O)C(=O)O)=C[C@@H]1NC(=N)N,active,450.0,Neuraminidase,6.346787486224656
CHEMBL2315321,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)N[C@@H](C)C(=O)O)=C[C@@H]1NC(=N)N,active,100.0,Neuraminidase,7.0
CHEMBL2315322,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)NCCC(=O)O)=C[C@@H]1NC(=N)N,active,360.0,Neuraminidase,6.443697499232713
CHEMBL2315323,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)NCc2cccc(F)c2)=C[C@@H]1NC(=N)N,active,90.0,Neuraminidase,7.045757490560675
CHEMBL2315324,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)NCc2ccccc2F)=C[C@@H]1NC(=N)N,active,240.0,Neuraminidase,6.619788758288394
CHEMBL2315596,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)NCc2ccc(C)cc2)=C[C@@H]1NC(=N)N,active,260.0,Neuraminidase,6.585026652029182
CHEMBL2296431,CC[C@H](C)[C@H](N)C(=O)Nc1cc(NC(=O)/C=C/c2ccc(O)c(O)c2)ccc1O.Cl,active,12.0,Neuraminidase,7.920818753952375
CHEMBL2206459,CCC(CC)O[C@@H]1C=C(P(=O)(O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,active,0.3,Neuraminidase,9.522878745280337
CHEMBL2206456,CCC(CC)O[C@@H]1C=C(P(=O)(O)O)C[C@H](N)[C@H]1NC(C)=O,active,1.8,Neuraminidase,8.744727494896694
CHEMBL2206458,CCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,active,5.9,Neuraminidase,8.229147988357855
CHEMBL2206932,CCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,active,131.7,Neuraminidase,6.8804142250382165
CHEMBL2049008,CCCC(CCC)Cc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,active,500.0,Neuraminidase,6.301029995663981
CHEMBL2049005,CCC(CC)OCc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,active,500.0,Neuraminidase,6.301029995663981
CHEMBL2049004,CCC(C)OCc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO,active,200.0,Neuraminidase,6.698970004336019
CHEMBL4867418,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NN)[C@H]1NC(C)=O,active,26.8,Neuraminidase,7.5718652059712115
CHEMBL2041478,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=O)N[C@@H](CC(N)=O)C(=O)O,active,580.0,Neuraminidase,6.236572006437063
CHEMBL4860142,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)NNC)[C@H]1NC(C)=O,active,29.6,Neuraminidase,7.528708288941061
CHEMBL4865898,CCNNC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,576.0,Neuraminidase,6.239577516576788
CHEMBL4863905,CCCCNNC(=O)N[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,38.3,Neuraminidase,7.416801226031377
CHEMBL4285430,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](OC(=O)NCCCO)[C@@H](C(=O)O)C[C@H]1NC(=N)N,active,35.4,Neuraminidase,7.450996737974212
CHEMBL1852739,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,active,0.5,Neuraminidase,9.301029995663981
CHEMBL1179072,CCCCCCCCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,45.49,Neuraminidase,7.342084063170045
CHEMBL4287286,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)CF)[C@H]1NC(C)=O,active,228.0,Neuraminidase,6.642065152999546
CHEMBL393222,CC(C)=CCc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,active,50.0,Neuraminidase,7.301029995663981
CHEMBL1271888,CC1(C)C=Cc2cc(-c3coc4cc(O)ccc4c3=O)ccc2O1,active,50.0,Neuraminidase,7.301029995663981
CHEMBL464460,CC(C)=CCc1cc(-c2coc3cc(O)cc(O)c3c2=O)ccc1O,active,50.0,Neuraminidase,7.301029995663981
CHEMBL253677,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(O)c1O,active,21.93,Neuraminidase,7.658961368322477
CHEMBL1271829,C=C(C)C(O)CC1=c2occ(-c3ccc(O)cc3)c(=O)c2=C(O)C2C=CC(C)(C)OC12,active,50.0,Neuraminidase,7.301029995663981
CHEMBL508727,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(CC=C(C)C)c1O,active,26.44,Neuraminidase,7.577738549186398
CHEMBL229885,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,active,21.51,Neuraminidase,7.667359589612538
CHEMBL1271773,COc1ccc(/C(C=O)=C\c2ccc(O)cc2OC)c(O)c1,active,8.8,Neuraminidase,8.05551732784983
CHEMBL1271772,CC1(C)C=Cc2c(c(CO)c3occ(-c4ccc(O)cc4)c(=O)c3c2O)O1,active,50.0,Neuraminidase,7.301029995663981
CHEMBL4285767,CCc1ccc(CN[C@H]2CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]2NC(C)=O)cc1,active,727.23,Neuraminidase,6.13832821371662
CHEMBL4278505,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(Cc3ccccc3)cc2)[C@H]1NC(C)=O,active,915.67,Neuraminidase,6.038261014324614
CHEMBL4282553,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(Oc3ccccc3)cc2)[C@H]1NC(C)=O,active,363.87,Neuraminidase,6.439053749227001
CHEMBL4276773,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(Sc3cccs3)cc2)[C@H]1NC(C)=O,active,36.34,Neuraminidase,7.439615077027985
CHEMBL4287425,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(Sc3ccccc3)cc2)[C@H]1NC(C)=O,active,32.81,Neuraminidase,7.483993769613952
CHEMBL4746198,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(OCc3ccccc3)cc2)[C@H]1NC(C)=O,active,600.0,Neuraminidase,6.221848749616356
CHEMBL4748661,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(OCc3cccc(C)c3)cc2)[C@H]1NC(C)=O,active,840.0,Neuraminidase,6.075720713938118
CHEMBL4740743,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(OCc3cccc(OC)c3)cc2)[C@H]1NC(C)=O,active,330.0,Neuraminidase,6.481486060122113
CHEMBL4747976,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(OCc3ccccc3F)cc2)[C@H]1NC(C)=O,active,880.0,Neuraminidase,6.055517327849832
CHEMBL467058,CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,active,931.0,Neuraminidase,6.031050319018657
CHEMBL1179074,CCCCCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,35.57,Neuraminidase,7.44891613481422
CHEMBL466246,CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,5.97,Neuraminidase,8.224025668870631
CHEMBL129795,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,active,3.42,Neuraminidase,8.465973893943865
CHEMBL1813528,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)OCCCOC(=O)c2ccc3ccccc3c2O)=C[C@@H]1NC(=N)N,active,590.0,Neuraminidase,6.229147988357856
CHEMBL1767362,NCC(=O)N1C(c2ccco2)SC[C@H]1C(=O)O,active,980.0,Neuraminidase,6.008773924307505
CHEMBL1767361,COc1cccc(C2SC[C@@H](C(=O)O)N2C(=O)CN)c1O,active,140.0,Neuraminidase,6.853871964321762
CHEMBL1767359,N#Cc1ccc(C2SC[C@@H](C(=O)O)N2C(=O)CN)cc1,active,810.0,Neuraminidase,6.0915149811213505
CHEMBL1767358,NCC(=O)N1C(c2ccccc2C(=O)O)SC[C@H]1C(=O)O,active,280.0,Neuraminidase,6.552841968657781
CHEMBL1765113,NCC(=O)N1C(c2ccccc2O)SC[C@H]1C(=O)O,active,210.0,Neuraminidase,6.6777807052660805
CHEMBL1767357,NCC(=O)N1C(c2ccccc2)SC[C@H]1C(=O)O,active,530.0,Neuraminidase,6.275724130399211
CHEMBL1767351,O=C(O)[C@@H]1CSC(c2ccccc2O)N1C(=O)Cc1ccccc1,active,650.0,Neuraminidase,6.187086643357144
CHEMBL1183488,CCCCCCCCCCCCO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)[C@H](O)CO,active,99.2,Neuraminidase,7.0034883278458215
CHEMBL5424932,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC1CCSC1,active,2.9,Neuraminidase,8.537602002101044
CHEMBL5417759,CCC(CC)O[C@@H]1C=C(C(=O)O)CC(N)[C@H]1NC(C)=O,active,0.4,Neuraminidase,9.397940008672037
CHEMBL5415752,Cc1onc(-c2ccccc2Cl)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,active,100.0,Neuraminidase,7.0
CHEMBL3355596,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)NC(=O)CSc1cccc2ccccc12,active,25.0,Neuraminidase,7.6020599913279625
CHEMBL4290699,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)C(F)(F)F)[C@H]1NC(C)=O,active,266.0,Neuraminidase,6.575118363368933
CHEMBL4280059,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=O)C(F)F)[C@H]1NC(C)=O,active,190.0,Neuraminidase,6.721246399047171
CHEMBL1644933,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,active,52.96,Neuraminidase,7.276052023568356
CHEMBL1644931,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,active,37.68,Neuraminidase,7.4238891058791605
CHEMBL1644932,COc1c(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2)ccc(O)c1O,active,28.62,Neuraminidase,7.543330370576243
CHEMBL139702,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,active,4.2,Neuraminidase,8.3767507096021
CHEMBL141530,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,active,2.19,Neuraminidase,8.659555885159882
CHEMBL4278125,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](OC(=O)NCCCOCCCc2ccc(O)c(O)c2)[C@@H](C(=O)O)C[C@H]1NC(=N)N,active,15.3,Neuraminidase,7.815308569182402
CHEMBL4288789,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](OC(=O)NCCCNC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](C(=O)O)C[C@H]1NC(=N)N,active,10.9,Neuraminidase,7.962573502059376
CHEMBL4288995,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](OC(=O)NCCCOC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](C(=O)O)C[C@H]1NC(=N)N,active,10.5,Neuraminidase,7.978810700930062
CHEMBL3819617,CCOP(=O)(O)C1=C[C@@H]([C@@H](NC(C)=O)C(CC)CC)[C@H](NC(=N)N)C1,active,7.3,Neuraminidase,8.136677139879543
CHEMBL3819510,CCCCC(=O)NC[C@@H](O)[C@@H](O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,active,377.9,Neuraminidase,6.422623108082986
CHEMBL3818654,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CNC(=O)C2CC2)OC(C(=O)O)=C[C@@H]1NC(=N)N.O=C(O)C(F)(F)F,active,8.72,Neuraminidase,8.059483515067432
CHEMBL3818159,CCC(CC)OC[C@@H]1CC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O.O=P(O)(O)O,active,3.1,Neuraminidase,8.508638306165727
CHEMBL3819450,CCOP(=O)(O)[C@H]1C[C@@H](NC(=N)N)[C@H]([C@@H](NC(C)=O)C(CC)CC)[C@@H]1O,active,0.9,Neuraminidase,9.045757490560675
CHEMBL3819487,CCCCCCOP(=O)(O)[C@H]1C[C@@H](NC(=N)N)[C@H]([C@@H](NC(C)=O)C(CC)CC)[C@@H]1O,active,0.5,Neuraminidase,9.301029995663981
CHEMBL3819314,CCCCCCOP(=O)(O)C1=C[C@@H]([C@@H](NC(C)=O)C(CC)CC)[C@H](NC(=N)N)C1,active,1.5,Neuraminidase,8.823908740944319
CHEMBL3817914,CCC(CC)[C@H](NC(C)=O)[C@@H]1C[C@@H](P(=O)(O)O)C[C@H]1NC(=N)N,active,2.9,Neuraminidase,8.537602002101044
CHEMBL3818211,CCOP(=O)(O)[C@@H]1C[C@@H]([C@@H](NC(C)=O)C(CC)CC)[C@H](NC(=N)N)C1,active,1.0,Neuraminidase,9.0
CHEMBL3818553,CCCCCCOP(=O)(O)[C@@H]1C[C@@H]([C@@H](NC(C)=O)C(CC)CC)[C@H](NC(=N)N)C1,active,1.6,Neuraminidase,8.795880017344075
CHEMBL3263942,CCC(CC)O[C@@H]1C=C(P(=O)(O)OCCCc2ccccc2)C[C@H](NC(=N)N)[C@H]1NC(C)=O,active,3.2,Neuraminidase,8.494850021680094
CHEMBL3263941,CCCCCCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,active,4.1,Neuraminidase,8.387216143280265
CHEMBL3263940,CCCCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,active,6.7,Neuraminidase,8.173925197299173
CHEMBL3263939,CCC(CC)O[C@@H]1C=C(P(=O)(O)OCCCc2c[nH]c3ccccc23)C[C@H](N)[C@H]1NC(C)=O,active,1.7,Neuraminidase,8.769551078621726
CHEMBL3263938,CCC(CC)O[C@@H]1C=C(P(=O)(O)OCCCc2ccccc2)C[C@H](N)[C@H]1NC(C)=O,active,1.8,Neuraminidase,8.744727494896694
CHEMBL3263937,CCCCCCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,active,2.2,Neuraminidase,8.657577319177793
CHEMBL3263936,CCCCOP(=O)(O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,active,6.9,Neuraminidase,8.161150909262744
CHEMBL3238021,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N/C(N)=N/O)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,active,3.7,Neuraminidase,8.431798275933005
CHEMBL3238015,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N/C(N)=N/C)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,active,1.73,Neuraminidase,8.761953896871205
CHEMBL3818436,CCC(CC)[C@H](NC(C)=O)[C@@H]1C=C(P(=O)(O)O)C[C@H]1NC(=N)N,active,4.1,Neuraminidase,8.387216143280265
CHEMBL3238022,CC(=O)N[C@H]1C([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)NC(=O)CSc1ccc2ccccc2c1,active,20.0,Neuraminidase,7.698970004336019
CHEMBL3819492,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](P(=O)(O)O)C[C@H]1NC(=N)N,active,3.1,Neuraminidase,8.508638306165727
CHEMBL3759877,COc1cccc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@H]3OC[C@@H](c4ccccc4)O[C@@H]32)c1,active,29.64,Neuraminidase,7.528121800692709
CHEMBL3330844,[N-]=[N+]=N[C@H]1C=C(C(=O)[O-])O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]1NC(=O)C1CC1.[Na+],active,910.0,Neuraminidase,6.040958607678906
CHEMBL3342484,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3ccccc3)cc2-c2ccccc2)[C@H]1NC(C)=O,active,3.2,Neuraminidase,8.494850021680094
CHEMBL3342480,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCCCN)[C@H]1NC(C)=O,active,950.0,Neuraminidase,6.022276394711152
CHEMBL3342474,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccccc2Cl)[C@H]1NC(C)=O,active,980.0,Neuraminidase,6.008773924307505
CHEMBL3342470,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2cccs2)[C@H]1NC(C)=O,active,740.0,Neuraminidase,6.130768280269024
CHEMBL3342467,CCC(CC)CN[C@H]1CC(C(=O)O)=C[C@@H](OC(CC)CC)[C@@H]1NC(C)=O,active,300.0,Neuraminidase,6.522878745280337
CHEMBL3342459,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N(Cc2ccc(-c3ccccc3)cc2)C(=N)N)[C@H]1NC(C)=O,active,470.0,Neuraminidase,6.327902142064283
CHEMBL3342458,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N(Cc2ccccc2OC)C(=N)N)[C@H]1NC(C)=O,active,490.0,Neuraminidase,6.309803919971486
CHEMBL3342456,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N(Cc2cccs2)C(=N)N)[C@H]1NC(C)=O,active,210.0,Neuraminidase,6.6777807052660805
CHEMBL3342331,CCC(CC)O[C@@H]1C=C(C(=O)NO)C[C@H](N)[C@H]1NC(C)=O,active,110.0,Neuraminidase,6.958607314841775
CHEMBL3342330,CCC(CC)O[C@@H]1C=C(C(=O)NO)C[C@H](NC(=N)N)[C@H]1NC(C)=O,active,200.0,Neuraminidase,6.698970004336019
CHEMBL402471,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](COC(=O)/C=C/c3ccc(O)c(O)c3)O[C@H]3OC[C@H](c4ccc(O)c(O)c4)O[C@@H]32)[C@H](O)[C@H](O)[C@H]1O,active,115.84,Neuraminidase,6.936141451146928
CHEMBL451273,C[C@@H]1O[C@@H](O[C@@H]2[C@H]3O[C@@H](c4ccc(O)c(O)c4)CO[C@@H]3O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,active,89.81,Neuraminidase,7.046675303610814
CHEMBL3759226,CSCC[C@@H](N)C(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@@H](c3ccccc3)O[C@@H]21,active,78.12,Neuraminidase,7.107237765384183
CHEMBL3758503,CSCC[C@@H](N)C(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@H](c3ccccc3)O[C@@H]21,active,89.43,Neuraminidase,7.048516769247707
CHEMBL3760001,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@@H](c3ccccc3)O[C@@H]21,active,27.77,Neuraminidase,7.556424120249742
CHEMBL3759493,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@H](c3ccccc3)O[C@@H]21,active,29.91,Neuraminidase,7.5241835869686815
CHEMBL3758909,O=C(/C=C/c1ccc(O)cc1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@@H](c3ccccc3)O[C@@H]21,active,78.03,Neuraminidase,7.107738393084465
CHEMBL3759004,O=C(/C=C/c1ccc(O)cc1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]2OC[C@H](c3ccccc3)O[C@@H]21,active,97.95,Neuraminidase,7.008995559669245
CHEMBL3758438,COc1cccc(/C=C/C(=O)O[C@H]2[C@H](O)[C@@H](CO)O[C@H]3OC[C@H](c4ccccc4)O[C@@H]32)c1,active,42.91,Neuraminidase,7.367441485467328
CHEMBL3238014,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O.O=C(O)C(F)(F)F,active,0.2,Neuraminidase,9.698970004336019
CHEMBL4128362,CC(=O)N[C@@H]1[C@@H](O)[C@@H](F)[C@](F)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,active,116.0,Neuraminidase,6.935542010773082
CHEMBL3220712,CCCC[C@@H](NC(C)=O)[C@@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,active,13.0,Neuraminidase,7.886056647693163
CHEMBL4172581,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N(C)C)cc2)[C@H]1NC(C)=O,active,4.09,Neuraminidase,8.388276691992658
CHEMBL4161935,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N(CC)CC)cc2)[C@H]1NC(C)=O,active,0.55,Neuraminidase,9.259637310505756
CHEMBL4175983,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N3CCCC3)cc2)[C@H]1NC(C)=O,active,2.31,Neuraminidase,8.636388020107855
CHEMBL4165368,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N3CCCCC3)cc2)[C@H]1NC(C)=O,active,18.61,Neuraminidase,7.730253626869233
CHEMBL4160858,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N3CCSCC3)cc2)[C@H]1NC(C)=O,active,48.38,Neuraminidase,7.3153341359741395
CHEMBL4168794,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(NC(C)=O)cc2)[C@H]1NC(C)=O,active,17.31,Neuraminidase,7.7617029321246065
CHEMBL4174094,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(Nc3ccccc3)cc2)[C@H]1NC(C)=O,active,66.72,Neuraminidase,7.175743962370317
CHEMBL4163386,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N(C)c3ccccc3)cc2)[C@H]1NC(C)=O,active,29.82,Neuraminidase,7.525492360883025
CHEMBL4162570,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(N(CC)c3ccccc3)cc2)[C@H]1NC(C)=O,active,697.77,Neuraminidase,6.156287706591168
CHEMBL4173256,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-n3cccc3)cc2)[C@H]1NC(C)=O,active,59.34,Neuraminidase,7.226652458019177
